id,order_id,ticket_id,product_id,product_nombre,staff_id,staff_nombre,cantidad,total,is_delivery,delivery_range,courtesy_percent,order_name,payment_method,ticket,created_at
"1","","1001","1","Gorra Snapback Classic","1","Admin","1","450","0","","0","","efectivo","","01/03/2026"
"2","","1002","2","Gorra Trucker Mesh","2","Juan","2","840","0","","0","","tarjeta","","01/03/2026"
"3","","1003","3","Gorra Beisbol Básica","3","Jose","1","350","0","","0","","efectivo","","01/03/2026"
"4","","1004","4","Gorra Visera Plana Urban","1","Admin","1","480","0","","0","","efectivo","","02/03/2026"
"5","","1005","5","Gorra Vintage Denim","2","Juan","1","500","0","","0","","tarjeta","","02/03/2026"
"6","","1006","6","Gorra Running Light","3","Jose","2","760","0","","0","","efectivo","","02/03/2026"
"7","","1007","7","Gorra Lana Premium","1","Admin","1","550","0","","0","","efectivo","","03/03/2026"
"8","","1008","8","Gorra Logo Patch","2","Juan","1","400","0","","0","","tarjeta","","03/03/2026"
"9","","1009","9","Tenis Runner X","3","Jose","1","2200","0","","0","","efectivo","","03/03/2026"
"10","","1010","10","Tenis Sport Pro","1","Admin","2","5000","0","","0","","tarjeta","","04/03/2026"
"11","","1011","11","Tenis Urban Lite","2","Juan","1","1800","0","","0","","efectivo","","04/03/2026"
"12","","1012","12","Tenis Trail Master","3","Jose","1","2400","0","","0","","tarjeta","","04/03/2026"
"13","","1013","13","Tenis Classic 01","1","Admin","1","1600","0","","0","","efectivo","","05/03/2026"
"14","","1014","14","Tenis Comfort Plus","2","Juan","1","2000","0","","0","","tarjeta","","05/03/2026"
"15","","1015","15","Tenis Velocity Pro","3","Jose","1","2300","0","","0","","efectivo","","05/03/2026"
"16","","1016","16","Tenis Minimal Light","1","Admin","1","1750","0","","0","","efectivo","","06/03/2026"
"17","","1017","17","Pack Calcetines Sport","2","Juan","3","450","0","","0","","tarjeta","","06/03/2026"
"18","","1018","18","Cordones Refuerzo","3","Jose","2","240","0","","0","","efectivo","","06/03/2026"
"19","","1019","19","Gorro Beanie","1","Admin","1","300","0","","0","","tarjeta","","07/03/2026"
"20","","1020","20","Bolsa Tote Logo","2","Juan","1","350","0","","0","","efectivo","","07/03/2026"
"21","","1021","1","Gorra Snapback Classic","3","Jose","2","900","0","","0","","tarjeta","","07/03/2026"
"22","","1022","2","Gorra Trucker Mesh","1","Admin","1","420","0","","0","","efectivo","","08/03/2026"
"23","","1023","3","Gorra Beisbol Básica","2","Juan","1","350","0","","0","","tarjeta","","08/03/2026"
"24","","1024","4","Gorra Visera Plana Urban","3","Jose","1","480","0","","0","","efectivo","","08/03/2026"
"25","","1025","5","Gorra Vintage Denim","1","Admin","2","1000","0","","0","","tarjeta","","09/03/2026"
"26","","1026","6","Gorra Running Light","2","Juan","1","380","0","","0","","efectivo","","09/03/2026"
"27","","1027","7","Gorra Lana Premium","3","Jose","1","550","0","","0","","tarjeta","","09/03/2026"
"28","","1028","8","Gorra Logo Patch","1","Admin","2","800","0","","0","","efectivo","","10/03/2026"
